Geography	Medium	City	Name	Website	Twitter_Name	Facebook	Instagram	Youtube	Address	Editor	Phone	source	collection_date
ak	Newspaper	Kenai, AK	Clarion Dispatch	http://peninsulaclarion.com/dispatch	https://twitter.com/pclarion	https://www.facebook.com/peninsulaclarion	https://www.instagram.com/pclarion/	https://www.youtube.com/user/PeninsulaClarion	150 Trading Bay Dr Kenai, AK 99611-7716	Will Morrow	907-283-7551	usnpl.com	2023-05-17 15:42:39.278164
ak	Newspaper	Kenai, AK	Peninsula Clarion	http://peninsulaclarion.com	https://twitter.com/pclarion	https://www.facebook.com/peninsulaclarion	https://www.instagram.com/pclarion/	https://www.youtube.com/user/PeninsulaClarion	150 Trading Bay Dr Kenai, AK 99611-7716	Will Morrow	907-283-7551	usnpl.com	2023-05-17 15:42:39.278164
ak	Newspaper	Ketchikan, AK	Ketchikan Daily News	http://www.ketchikandailynews.com	https://twitter.com/KDNSports	https://www.facebook.com/ketchikandailynews		https://www.youtube.com/channel/UCkVb63bTxhN77OFjnncUHGQ	PO Box 7900 Ketchikan, AK 99901-2900	Scott Bowlen	907-225-3157	usnpl.com	2023-05-17 15:42:39.278164
ak	Newspaper	Ketchikan, AK	Local Paper	http://thelocalpaper.com		https://www.facebook.com/pages/The-Local-Paper-Ketchikan-Alaska/144259398951172			516 Stedman St Ketchikan, AK 99901-6629	Jacquie Meck	907-225-6540	usnpl.com	2023-05-17 15:42:39.278164
ak	Newspaper	Ketchikan, AK	Sitnews	http://www.sitnews.us	https://twitter.com/SitNews	https://www.facebook.com/SitNews.Ketchikan			23 Higgins Spur Ketchikan, AK 99901-9442	Mary Kauffman	907-617-9696	usnpl.com	2023-05-17 15:42:39.278164
ak	Newspaper	Kodiak, AK	Kodiak Daily Mirror	http://www.kodiakdailymirror.com	https://twitter.com/kdkmirror	https://www.facebook.com/pages/The-Kodiak-Daily-Mirror/117209891693204			1419 Selig St Kodiak, AK 99615-6450	Richard Harris	907-486-3227	usnpl.com	2023-05-17 15:42:39.278164
ak	Newspaper	Kotzebue, AK	Arctic Sounder	http://www.thearcticsounder.com		https://www.facebook.com/pages/The-Arctic-Sounder/141989052610707			PO Box 241582 Kotzebue, AK 99524-1582	Carey Restino	907-299-1172	usnpl.com	2023-05-17 15:42:39.278164
ak	Newspaper	Nome, AK	Nome Nugget	http://www.nomenugget.net		https://www.facebook.com/pages/The-Nome-Nugget/160443207368753		http://www.youtube.com/user/TheNomeNugget	PO Box 610 Nome, AK 99762-0610	Nancy McGuire	907-443-5235	usnpl.com	2023-05-17 15:42:39.278164
ak	Newspaper	Petersburg, AK	Petersburg Pilot	http://www.petersburgpilot.com		https://www.facebook.com/petersburgpilot/			PO Box 930 Petersburg, AK 99833-0930	Ron Loesch	907-772-9393	usnpl.com	2023-05-17 15:42:39.278164
ak	Newspaper	Seldovia, AK	Seldovia Gazette	http://www.seldovia.com/seldovia-gazette	https://twitter.com/SeldoviaCom	https://www.facebook.com/Seldovia		http://www.youtube.com/user/seldoviagal/featured	PO Box 263 Seldovia, AK 99663-0263	Jenny Chissus	907-234-8000	usnpl.com	2023-05-17 15:42:39.278164
ak	Newspaper	Seward, AK	Seward Phoenix Log	http://www.thesewardphoenixlog.com		https://www.facebook.com/pages/The-Seward-Phoenix-LOG/161827703923174		https://www.youtube.com/user/TheSewardPhoenixLog	PO Box 103 Seward, AK 99664-0103	Annette Shacklett	907-224-4888	usnpl.com	2023-05-17 15:42:39.278164
ak	Newspaper	Sitka, AK	Daily Sitka Sentinel	http://sitkasentinel.com	https://twitter.com/sitkasentinel	https://www.facebook.com/sitkasentinel			112 Barracks St Sitka, AK 99835-7532	Thad Poulson	907-747-3219	usnpl.com	2023-05-17 15:42:39.278164
ak	Newspaper	Skagway, AK	Skagway News	http://www.skagwaynews.com		https://www.facebook.com/pages/The-Skagway-News-Co/291831660844378	https://www.instagram.com/theskagwaynews/		PO Box 498 Skagway, AK 99840-0498	Elise Giordano	907-983-2354	usnpl.com	2023-05-17 15:42:39.278164
ak	Newspaper	Valdez, AK	Valdez Star	http://www.valdezstar.net		https://www.facebook.com/pages/The-Valdez-Star/107425405969218			PO Box 2949 Valdez, AK 99686-2949	Lee Revis	907-835-2405	usnpl.com	2023-05-17 15:42:39.278164
ak	Newspaper	Wasilla, AK	Frontiersman	http://www.frontiersman.com	https://twitter.com/matsu_news	https://www.facebook.com/frontiersman		http://www.youtube.com/user/Frontiersmannews	5751 E Mayflower Ct Wasilla, AK 99654-7880	Matt Tunseth	907-352-2250	usnpl.com	2023-05-17 15:42:39.278164
ak	Newspaper	Wrangell, AK	Wrangell Sentinel	http://www.wrangellsentinel.com					PO Box 798 Wrangell, AK 99929-0798	Ron Loesch	907-874-2301	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Albertville, AL	Sand Mountain Reporter	http://www.sandmountainreporter.com	https://twitter.com/smrnews	https://www.facebook.com/pages/The-Sand-Mountain-Reporter/228007249376			1603 Progress Dr Albertville, AL 35950-8547	Jonathan Stinson	256-840-3000	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Alexander City, AL	Alexander City Outlook	http://www.alexcityoutlook.com	https://twitter.com/alexcityoutlook	https://www.facebook.com/pages/The-Alexander-City-Outlook/84710064891		http://www.youtube.com/user/AlexanderCityOutlook	548 Cherokee Rd Alexander City, AL 35010-2503	Mitch Sneed	256-234-4281	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Andalusia, AL	Andalusia Star-News	http://www.andalusiastarnews.com		https://www.facebook.com/pages/Andalusia-Star-News/53866966722			207 Dunson St Andalusia, AL 36420-3705	Michele Gerlach	334-222-2402	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Anniston, AL	Anniston Star	http://www.annistonstar.com	https://twitter.com/annistonstar	https://www.facebook.com/annistonstar	https://www.instagram.com/annistonstar/	http://www.youtube.com/user/AnnistonStar	PO Box 189 Anniston, AL 36202-0189	Bob Davis	256-236-1551	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Arab, AL	Arab Tribune	http://www.thearabtribune.com	https://twitter.com/ArabTribune	https://www.facebook.com/pages/The-Arab-Tribune/178865138834401			PO Box 605 Arab, AL 35016-0605	Charles Whisenant	256-586-3188	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Athens, AL	Athens News Courier	http://www.enewscourier.com	https://twitter.com/newscourier	https://www.facebook.com/pages/The-News-Courier/112539230743		https://www.youtube.com/channel/UCzMQby44-DokkY7xUhr2NGw	PO Box 670 Athens, AL 35612-0670	Adam Smith	256-232-2720	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Atmore, AL	Atmore Advance	http://www.atmoreadvance.com	https://twitter.com/atmoreadvance	https://www.facebook.com/pages/Atmore-Advance/83649498468		http://www.youtube.com/user/atmoreadvance	PO Box 28 Atmore, AL 36504-0028	Andrew Garner	251-368-2123	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Atmore, AL	Atmore News	http://www.atmorenews.com		https://www.facebook.com/newsatmore			128 S Main St Atmore, AL 36502-2446	Sherry Digmon	251-368-6397	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Auburn, AL	Auburn Plainsman	http://theplainsman.com	https://twitter.com/TheAUPlainsman	https://www.facebook.com/theplainsman	https://www.instagram.com/theauburnplainsman/	http://www.youtube.com/user/TheAuburnPlainsman1	255 Heisman Drive Suite 1111 Auburn, AL 36849-5343	Corey Williams	334-844-9108	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Bay Minette, AL	Baldwin Times	http://www.gulfcoastnewstoday.com/the_baldwin_times		https://www.facebook.com/GulfCoastMedia/			325 Fairhope Ave Bay Minette, AL 36532-2317	John Underwood	251-928-2321	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Birmingham, AL	Alabama Messenger	http://www.alabamamessenger.com		https://www.facebook.com/pages/The-Alabama-Messenger/471601942875195	https://www.instagram.com/alabama.messenger/		205 20th St N Ste 706 Birmingham, AL 35203-4701	Traci Smeraglia	205-252-3672	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Birmingham, AL	Birmingham News	http://www.al.com/birmingham	https://twitter.com/ALcomBirmingham	https://www.facebook.com/birminghamnews	https://www.instagram.com/aldotcompix/		1731 1st Ave N Birmingham, AL 35203-2055	Izzy Gould	205-325-2211	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Birmingham, AL	Birmingham Times	http://www.birminghamtimes.com	https://twitter.com/BirminghamTimes	https://www.facebook.com/birmingham.times			115 3rd Ave W Birmingham, AL 35204-4114	Ariel Worthy	205-251-5158	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Birmingham, AL	Business Journal	http://www.bizjournals.com/birmingham	https://twitter.com/bhambizjrnl	https://www.facebook.com/birminghambusinessjournal			2140 11th Ave S Ste 205 Birmingham, AL 35205-2840	Joel Welker	205-443-5600	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Birmingham, AL	Over the Mountain Journal	http://www.otmj.com		https://www.facebook.com/pages/Over-the-Mountain-Journal/131637710184301			2016 Columbiana Rd Birmingham, AL 35216-2147	Maury Wald	205-823-9646	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Brewton, AL	Brewton Standard	http://www.brewtonstandard.com	https://twitter.com/brewtonstandard	https://www.facebook.com/pages/The-Brewton-Standard/73324917142		http://www.youtube.com/channel/UCZrTf86Mo7a0pm9OX-GpJww	PO Box 887 Brewton, AL 36427-0887	Stephanie Nelson	251-867-4876	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Carbon Hill, AL	Corridor Messenger	http://corridormessenger.com		https://www.facebook.com/corridor.messenger			1903 3rd Ave S Carbon Hill, AL 35501-5315	David Lazenby	205-282-4569	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Carrollton, AL	Pickens County Herald	http://pcherald.com	https://twitter.com/PickensCoHerald	https://www.facebook.com/PickensCountyHerald			PO Box 390 Carrollton, AL 35447-0390	Bo Black	205-367-2217	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Centre, AL	Cherokee County Herald	http://www.northwestgeorgianews.com/cherokee_county		https://www.facebook.com/CherokeeCountyHerald			1460 W Main St Ste E Centre, AL 35960-1139	Terry Dean	256-927-5037	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Centre, AL	Post Online	http://www.epostpaper.com	https://twitter.com/postpaper				100 E Main St Centre, AL 35960-1517	Scott Wright	256-927-4476	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Chatom, AL	Washington County News	http://www.chipleypaper.com	https://twitter.com/wcn_hct	https://www.facebook.com/pages/Washington-County-NewsHolmes-County-Advertiser/109405362449641			1364 N Railroad Ave Chatom, AL 32428-1456	Nicole Barefield	850-638-0212	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Citronelle, AL	Call News	http://www.thecallnews.com		https://www.facebook.com/pages/The-Call-News/74580658175		https://www.youtube.com/user/callnews	7870 State St Citronelle, AL 36522-2486	Willie Gray	251-866-5998	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Clanton, AL	Clanton Advertiser	http://www.clantonadvertiser.com	https://twitter.com/clantonadv	https://www.facebook.com/clantonadvertiser			1109 7th St N Clanton, AL 35045-2113	Stephen Dawkins	205-755-5747	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Clayton, AL	Clayton Record	http://www.theclaytonrecordonline.com					PO Box 69 Clayton, AL 36016-0069	Rebecca P. Beasley	334-775-3254	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Columbiana, AL	Shelby County Reporter	http://www.shelbycountyreporter.com	https://twitter.com/shelbycreporter	https://www.facebook.com/shelbycountyreporter		http://www.youtube.com/user/shelbycountymedia	PO Box 947 Columbiana, AL 35051-0947	Neal Wagner	205-669-3131	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Cullman, AL	Cullman Times	http://www.cullmantimes.com	https://twitter.com/TheCullmanTimes	https://www.facebook.com/pages/The-Cullman-Times/136821583036613			300 4th Ave SE Cullman, AL 35055-3699	David Palmer	256-734-2131	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Cullman, AL	CullmanSense	http://www.cullmansense.com	https://twitter.com/cullmansense	https://www.facebook.com/CullmanSense	https://www.instagram.com/cullmansense/	http://www.youtube.com/user/cullmansense	219 2nd Ave SE Cullman, AL 35055-3513	Noah Galilee	256-739-1351	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Dadeville, AL	Dadeville Record	http://www.alexcityoutlook.com/category/dadeville		https://www.facebook.com/pages/Dadeville-Record/47940556546			548 Cherokee Rd Dadeville, AL 35010-2503	Betsy Iler	256-234-4281	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Daleville, AL	Daleville Sun-Courier	http://www.southeastsun.com/daleville					PO Box 311546 Daleville, AL 36331-1546	Caroline Quattlebaum	334-393-2969	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Decatur, AL	Decatur Daily	http://www.decaturdaily.com	https://twitter.com/decaturdaily	https://www.facebook.com/decaturdaily	https://www.instagram.com/decaturdaily/	http://www.youtube.com/user/DecaturDailyDemocrat	PO Box 2213 Decatur, AL 35609-2213	Leah Daniels	256-340-2410	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Demopolis, AL	Demopolis Times	http://www.demopolistimes.com	https://twitter.com/demopolistimes	https://www.facebook.com/pages/The-Demopolis-Times/48146854758			315 E Jefferson St Demopolis, AL 36732-2255	Robert Blankenship	334-289-4017	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Dothan, AL	Dothan Eagle	http://www.dothaneagle.com	https://twitter.com/dothaneagle	https://www.facebook.com/dothaneagle	https://www.instagram.com/dothaneagle/	http://www.youtube.com/user/dothaneagle	227 N Oates St Dothan, AL 36303-4555	Steve Smith	334-792-3141	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Dothan, AL	Dothan Progress	http://www.dothaneagle.com/news/dothan_progress	https://twitter.com/dothaneagle	https://www.facebook.com/dothaneagle	https://www.instagram.com/dothaneagle/	http://www.youtube.com/user/dothaneagle	227 N Oates St Dothan, AL 36303-4555	Elaine Brackin	334-792-3141	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Elba, AL	Elba Clipper	http://www.elba-clipper.com					PO Box 677 Elba, AL 36323-0677	Linda Hodge	334-897-2823	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Enterprise, AL	Enterprise Ledger	http://www.dothaneagle.com/enterprise_ledger	https://twitter.com/ledgernews	https://www.facebook.com/pages/Enterprise-Ledger/80064758818		http://www.youtube.com/user/enterpriseledger	1110 Boll Weevil Cir Enterprise, AL 36330-1389	Kyle Mooty	334-347-9533	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Enterprise, AL	Southeast Sun	http://www.southeastsun.com	https://twitter.com/southeastsun	https://www.facebook.com/pages/The-Southeast-Sun/41320314986		http://www.youtube.com/user/SoutheastSun	PO Box 311546 Enterprise, AL 36331-1546	Russell Quattlebaum	334-393-2969	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Eufaula, AL	Eufaula Tribune	http://www.dothaneagle.com/eufaula_tribune	https://twitter.com/eufaulatribnews	https://www.facebook.com/pages/Eufaula-Tribune/102586439777206		http://www.youtube.com/user/eufaulatribune	514 E Barbour St Eufaula, AL 36027-1704	Tiffiny Woo	334-687-3506	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Fayette, AL	Times-Record	http://www.mytrpaper.com					PO Box 159 Fayette, AL 35555-0159	Crystal Foster	205-932-3300	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Florence, AL	Courier Journal	http://www.courierjournal.net		https://www.facebook.com/florencecourierjournal			219 W Tennessee St Florence, AL 35630-5440	Thomas V. Magazzu	256-764-4268	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Florence, AL	Times Daily	http://www.timesdaily.com	https://twitter.com/TimesDaily	https://www.facebook.com/timesdaily			219 W Tennessee St Florence, AL 35630-5440	Gary Maitland	256-766-3434	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Fort Deposit, AL	Lowndes Signal	http://www.lowndessignal.com	https://twitter.com/lowndes_signal	https://www.facebook.com/LowndesSignal			15222 Freemans Bend Rd Fort Deposit, AL 35475-3800	Andy Brown	334-404-6397	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Fort Payne, AL	Times-Journal	http://times-journal.com	https://twitter.com/fptimesjournal	https://www.facebook.com/timesjournal			PO Box 680349 Fort Payne, AL 35968-1604	Tricia Clinton Dunne	256-845-2550	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Gadsden, AL	Gadsden Messenger	http://gadsdenmessenger.com	https://twitter.com/gad_messenger	https://www.facebook.com/TheMessengerGadsden			408 Broad St Gadsden, AL 35901-3718	Chris McCarthy	256-547-1049	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Gadsden, AL	Gadsden Times	http://www.gadsdentimes.com	https://twitter.com/gadsdentimes	https://www.facebook.com/GadsdenTimes		http://www.youtube.com/user/GadsdenTimes	PO Box 188 Gadsden, AL 35902-0188	Ron Reaves	256-549-2075	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Gardendale, AL	North Jefferson News	http://www.njeffersonnews.com	https://twitter.com/NorthJeffNews	https://www.facebook.com/NorthJeffersonNews		https://www.youtube.com/channel/UCFEeqoeuHzLzXi380gtIqhg	PO Box 849 Gardendale, AL 35071-0849	Rachel Davis	205-631-8716	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Geneva, AL	Geneva County Reaper	http://www.oppnewsonline.com/23136/1964/geneva-county-reaperpdf		https://www.facebook.com/pages/Geneva-County-Reaper/133754646654708			506 S Commerce St Geneva, AL 36340-2421	Jay Felsberg	334-493-3595	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Geneva, AL	Hartford News-Herald	http://www.oppnewsonline.com/20680/1964/hartford-newsheraldpdf					506 S Commerce St Geneva, AL 36340-2421	Jay Felsberg	334-493-3595	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Gilbertown, AL	Choctaw Sun	http://www.choctawsun.org		https://www.facebook.com/choctawsun		https://www.youtube.com/channel/UCV40upHYovteOs4uAUH9LjQ	PO Box 269 Gilbertown, AL 36908-0269	Dee Ann Campbell	251-843-6397	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Greenville, AL	Greenville Advocate	http://www.greenvilleadvocate.com	https://twitter.com/GvilleAdvocate	https://www.facebook.com/GreenvilleAdvocate			PO Box 507 Greenville, AL 36037-0507	Andy Brown	334-382-3111	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Grove Hill, AL	Clarke County Democrat	http://www.clarkecountydemocrat.com	https://twitter.com/CCDemocrat	https://www.facebook.com/pages/Clarke-County-Democrat/282374158462974			PO Box 39 Grove Hill, AL 36451-0039	Jim Cox	251-275-3375	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Gulf Shores, AL	Gulf Shores Islander	http://www.gulfcoastnewstoday.com/the_islander		https://www.facebook.com/GulfCoastMedia/			901 N McKenzie St Gulf Shores, AL 36535-3546	John Mullen	251-943-2151	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Guntersville, AL	Advertiser-Gleam	http://www.advertisergleam.com		https://www.facebook.com/advertisergleam			PO Box 190 Guntersville, AL 35976-0190	Anthony Campbell	256-582-3232	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Haleyville, AL	Northwest Alabamian	http://www.mynwapaper.com					PO Box 430 Haleyville, AL 35565-0430	Melica Allen	205-486-9461	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Hartselle, AL	Hartselle Enquirer	http://www.hartselleenquirer.com	https://twitter.com/hartselleenq	https://www.facebook.com/pages/Hartselle-Enquirer/55079151637			407 Chestnut St NW Hartselle, AL 35640-2407	Randy Garrison	256-773-6566	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Heflin, AL	Cleburne News	http://www.annistonstar.com/cleburne_news		https://www.facebook.com/pages/Cleburne-News/174078529314804			4305 McClellan Blvd Heflin, AL 36206-2812	Ben Cunningham	256-236-1551	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Huntsville, AL	Huntsville Times	http://www.al.com/huntsville	https://twitter.com/ALcomHuntsville	https://www.facebook.com/huntsvilletimes	https://www.instagram.com/aldotcompix/		200 Westside Sq Ste 100 Huntsville, AL 35801-4894	Izzy Gould	256-532-4000	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Huntsville, AL	Speakin' Out News	http://www.speakinoutweeklynews.com		https://www.facebook.com/speakinoutnews			201 Oakwood Ave NE Huntsville, AL 35811-1901	William Smothers	256-551-1020	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Huntsville, AL	Valley Planet	http://www.valleyplanet.com	https://twitter.com/valleyplanet	https://www.facebook.com/pages/Valley-Planet/29498957774	https://www.instagram.com/valleyplanet/		203 Grove Ave NW Huntsville, AL 35801-4712	Jill E. Wood	256-533-4613	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Jackson, AL	South Alabamian	http://www.southalabamian.com					PO Box 68 Jackson, AL 36545-0068	Rick Couch	251-246-4494	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Jacksonville, AL	Jacksonville News	http://www.annistonstar.com/jacksonville_news	https://twitter.com/annistonstar	https://www.facebook.com/annistonstar	https://www.instagram.com/annistonstar/		PO Box 189 Jacksonville, AL 36202-0189	Ben Cunningham	256-236-1551	usnpl.com	2023-05-17 15:42:39.278164
al	Newspaper	Jasper, AL	Daily Mountain Eagle	http://www.mountaineagle.com	https://twitter.com/DailyMtnEagle	https://www.facebook.com/mountaineagle			1301 Viking Dr Jasper, AL 35501-4983	Ron Harris	205-221-2840	usnpl.com	2023-05-17 15:42:39.278164
